ix	I(Iz)
Step Information: Iy=1µ  (Run: 1/3)
1.000000000000000e-08	7.274881e-11
1.258925411794167e-08	1.236424e-10
1.584893192461114e-08	2.079719e-10
1.995262314968880e-08	3.462370e-10
2.511886431509581e-08	5.711719e-10
3.162277660168381e-08	9.349603e-10
3.981071705534974e-08	1.520690e-09
5.011872336272726e-08	2.460522e-09
6.309573444801936e-08	3.964513e-09
7.943282347242821e-08	6.366317e-09
1.000000000000001e-07	1.019565e-08
1.258925411794168e-07	1.629315e-08
1.584893192461115e-07	2.599244e-08
1.995262314968881e-07	4.140862e-08
2.511886431509582e-07	6.589527e-08
3.162277660168382e-07	1.047681e-07
3.981071705534977e-07	1.664505e-07
5.011872336272728e-07	2.642839e-07
6.309573444801939e-07	4.193881e-07
7.943282347242824e-07	6.651652e-07
1.000000000000001e-06	1.054373e-06
1.258925411794169e-06	1.670166e-06
1.584893192461116e-06	2.643184e-06
1.995262314968883e-06	4.177630e-06
2.511886431509584e-06	6.590191e-06
3.162277660168384e-06	1.036613e-05
3.981071705534979e-06	1.623569e-05
5.011872336272732e-06	2.526919e-05
6.309573444801944e-06	3.897899e-05
7.943282347242830e-06	5.940296e-05
1.000000000000002e-05	8.913937e-05
1.258925411794170e-05	1.313258e-04
1.584893192461117e-05	1.896033e-04
1.995262314968884e-05	2.681428e-04
2.511886431509586e-05	3.717877e-04
3.162277660168387e-05	5.063097e-04
3.981071705534982e-05	6.787385e-04
5.011872336272735e-05	8.977289e-04
6.309573444801948e-05	1.173952e-03
7.943282347242836e-05	1.520508e-03
1.000000000000003e-04	1.953346e-03
1.258925411794171e-04	2.491705e-03
1.584893192461118e-04	3.158512e-03
1.995262314968885e-04	3.980724e-03
2.511886431509587e-04	4.989539e-03
3.162277660168389e-04	6.220410e-03
3.981071705534984e-04	7.712800e-03
5.011872336272738e-04	9.509624e-03
6.309573444801953e-04	1.165639e-02
7.943282347242841e-04	1.420008e-02
1.000000000000003e-03	1.718794e-02
1.258925411794171e-03	2.066639e-02
1.584893192461119e-03	2.468020e-02
1.995262314968886e-03	2.927237e-02
2.511886431509589e-03	3.448460e-02
3.162277660168390e-03	4.035875e-02
3.981071705534986e-03	4.693915e-02
5.011872336272740e-03	5.427580e-02
6.309573444801955e-03	6.242844e-02
7.943282347242843e-03	7.147171e-02
1.000000000000000e-02	8.150110e-02
Step Information: Iy=10µ  (Run: 2/3)
1.000000000000000e-08	1.532329e-10
1.258925411794167e-08	9.573448e-11
1.584893192461114e-08	4.867584e-11
1.995262314968880e-08	1.062039e-11
2.511886431509581e-08	7.663148e-12
3.162277660168381e-08	1.825884e-11
3.981071705534974e-08	4.439743e-11
5.011872336272726e-08	9.755918e-11
6.309573444801936e-08	1.965738e-10
7.943282347242821e-08	3.720745e-10
1.000000000000001e-07	6.735933e-10
1.258925411794168e-07	1.180874e-09
1.584893192461115e-07	2.021861e-09
1.995262314968881e-07	3.401285e-09
2.511886431509582e-07	5.646083e-09
3.162277660168382e-07	9.277490e-09
3.981071705534977e-07	1.512547e-08
5.011872336272728e-07	2.451028e-08
6.309573444801939e-07	3.953038e-08
7.943282347242824e-07	6.351915e-08
1.000000000000001e-06	1.017689e-07
1.258925411794169e-06	1.626787e-07
1.584893192461116e-06	2.595737e-07
1.995262314968883e-06	4.135880e-07
2.511886431509584e-06	6.582321e-07
3.162277660168384e-06	1.046625e-06
3.981071705534979e-06	1.662941e-06
5.011872336272732e-06	2.640508e-06
6.309573444801944e-06	4.190374e-06
7.943282347242830e-06	6.646308e-06
1.000000000000002e-05	1.053539e-05
1.258925411794170e-05	1.668809e-05
1.584893192461117e-05	2.640826e-05
1.995262314968884e-05	4.173162e-05
2.511886431509586e-05	6.580910e-05
3.162277660168387e-05	1.034533e-04
3.981071705534982e-05	1.618688e-04
5.011872336272735e-05	2.515275e-04
6.309573444801948e-05	3.870360e-04
7.943282347242836e-05	5.876912e-04
1.000000000000003e-04	8.773819e-04
1.258925411794171e-04	1.283742e-03
1.584893192461118e-04	1.836962e-03
1.995262314968885e-04	2.568946e-03
2.511886431509587e-04	3.513230e-03
3.162277660168389e-04	4.705431e-03
3.981071705534984e-04	6.183715e-03
5.011872336272738e-04	7.988853e-03
6.309573444801953e-04	1.016377e-02
7.943282347242841e-04	1.275261e-02
1.000000000000003e-03	1.579970e-02
1.258925411794171e-03	1.934845e-02
1.584893192461119e-03	2.344071e-02
1.995262314968886e-03	2.811667e-02
2.511886431509589e-03	3.341552e-02
3.162277660168390e-03	3.937694e-02
3.981071705534986e-03	4.604347e-02
5.011872336272740e-03	5.346372e-02
6.309573444801955e-03	6.169648e-02
7.943282347242843e-03	7.081572e-02
1.000000000000000e-02	8.091660e-02
Step Information: Iy=100µ  (Run: 3/3)
1.000000000000000e-08	2.127226e-09
1.258925411794167e-08	1.815020e-09
1.584893192461114e-08	1.513436e-09
1.995262314968880e-08	1.234872e-09
2.511886431509581e-08	9.876588e-10
3.162277660168381e-08	7.753960e-10
3.981071705534974e-08	5.976609e-10
5.011872336272726e-08	4.515159e-10
6.309573444801936e-08	3.328294e-10
7.943282347242821e-08	2.372385e-10
1.000000000000001e-07	1.606644e-10
1.258925411794168e-07	9.953721e-11
1.584893192461115e-07	5.085060e-11
1.995262314968881e-07	1.212974e-11
2.511886431509582e-07	2.454675e-11
3.162277660168382e-07	1.275989e-10
3.981071705534977e-07	3.846889e-10
5.011872336272728e-07	9.101890e-10
6.309573444801939e-07	1.891638e-09
7.943282347242824e-07	3.634169e-09
1.000000000000001e-06	6.631320e-09
1.258925411794169e-06	1.167780e-08
1.584893192461116e-06	2.004887e-08
1.995262314968883e-06	3.378549e-08
2.511886431509584e-06	5.614728e-08
3.162277660168384e-06	9.233179e-08
3.981071705534979e-06	1.506162e-07
5.011872336272732e-06	2.441691e-07
6.309573444801944e-06	3.939249e-07
7.943282347242830e-06	6.331429e-07
1.000000000000002e-05	1.014640e-06
1.258925411794170e-05	1.622256e-06
1.584893192461117e-05	2.589045e-06
1.995262314968884e-05	4.126096e-06
2.511886431509586e-05	6.568231e-06
3.162277660168387e-05	1.044637e-05
3.981071705534982e-05	1.660211e-05
5.011872336272735e-05	2.636872e-05
6.309573444801948e-05	4.185655e-05
7.943282347242836e-05	6.640115e-05
1.000000000000003e-04	1.052620e-04
1.258925411794171e-04	1.667000e-04
1.584893192461118e-04	2.636096e-04
1.995262314968885e-04	4.159148e-04
2.511886431509587e-04	6.539159e-04
3.162277660168389e-04	1.022563e-03
3.981071705534984e-04	1.586061e-03
5.011872336272738e-04	2.431123e-03
6.309573444801953e-04	3.665853e-03
7.943282347242841e-04	5.411087e-03
1.000000000000003e-03	7.783977e-03
1.258925411794171e-03	1.087944e-02
