iy	I(Iz)
Step Information: Ix=1µ  (Run: 1/3)
1.000000000000000e-08	2.031216e-05
1.258925411794167e-08	1.976424e-05
1.584893192461114e-08	1.909807e-05
1.995262314968880e-08	1.829628e-05
2.511886431509581e-08	1.734389e-05
3.162277660168381e-08	1.623189e-05
3.981071705534974e-08	1.496197e-05
5.011872336272726e-08	1.355183e-05
6.309573444801936e-08	1.203900e-05
7.943282347242821e-08	1.048021e-05
1.000000000000001e-07	8.943709e-06
1.258925411794168e-07	7.495904e-06
1.584893192461115e-07	6.187772e-06
1.995262314968881e-07	5.047516e-06
2.511886431509582e-07	4.081399e-06
3.162277660168382e-07	3.279851e-06
3.981071705534977e-07	2.624610e-06
5.011872336272728e-07	2.094326e-06
6.309573444801939e-07	1.668013e-06
7.943282347242824e-07	1.326767e-06
1.000000000000001e-06	1.054373e-06
1.258925411794169e-06	8.373252e-07
1.584893192461116e-06	6.645738e-07
1.995262314968883e-06	5.271775e-07
2.511886431509584e-06	4.179502e-07
3.162277660168384e-06	3.311420e-07
3.981071705534979e-06	2.621643e-07
5.011872336272732e-06	2.073615e-07
6.309573444801944e-06	1.638245e-07
7.943282347242830e-06	1.292399e-07
1.000000000000002e-05	1.017689e-07
1.258925411794170e-05	7.995017e-08
1.584893192461117e-05	6.262288e-08
1.995262314968884e-05	4.886506e-08
2.511886431509586e-05	3.794459e-08
3.162277660168387e-05	2.928038e-08
3.981071705534982e-05	2.241141e-08
5.011872336272735e-05	1.697221e-08
6.309573444801948e-05	1.267346e-08
7.943282347242836e-05	9.286516e-09
1.000000000000003e-04	6.631321e-09
1.258925411794171e-04	4.566763e-09
1.584893192461118e-04	2.983179e-09
1.995262314968885e-04	1.796516e-09
2.511886431509587e-04	9.438326e-10
3.162277660168389e-04	3.799329e-10
3.981071705534984e-04	7.489936e-11
5.011872336272738e-04	1.347866e-11
6.309573444801953e-04	5.252926e-11
7.943282347242841e-04	1.016845e-10
1.000000000000003e-03	1.635569e-10
1.258925411794171e-03	2.414332e-10
1.584893192461119e-03	3.394474e-10
1.995262314968886e-03	4.627986e-10
2.511886431509589e-03	6.180231e-10
3.162277660168390e-03	8.133358e-10
3.981071705534986e-03	1.059056e-09
5.011872336272740e-03	1.368140e-09
6.309573444801955e-03	1.756844e-09
7.943282347242843e-03	2.245546e-09
1.000000000000000e-02	2.859764e-09
Step Information: Ix=10µ  (Run: 2/3)
1.000000000000000e-08	2.217045e-04
1.258925411794167e-08	2.210986e-04
1.584893192461114e-08	2.203382e-04
1.995262314968880e-08	2.193847e-04
2.511886431509581e-08	2.181903e-04
3.162277660168381e-08	2.166960e-04
3.981071705534974e-08	2.148298e-04
5.011872336272726e-08	2.125042e-04
6.309573444801936e-08	2.096139e-04
7.943282347242821e-08	2.060346e-04
1.000000000000001e-07	2.016224e-04
